rule,results_min5_iters74.txt,results_min5_iters500.txt
INTJ --> UH NN,0.0643092,0.0645779
INTJ --> UH NNP,0.0372956,0.0373528
INTJ --> UH NNS,0.000210991,0.000213507
INTJ --> UH NP,0.291143,0.292148
INTJ --> UH NP VP,0.00433352,0.00420018
INTJ --> UH PP,0.00373744,0.00374252
INTJ --> UH PRP$,0.240351,0.240868
INTJ --> UH PRP$ NN,1.39667e-09,1.39991e-09
INTJ --> UH RB,0.0628657,0.0629984
INTJ --> UH S,0.000499384,0.000445557
INTJ --> UH UH,0.0594817,0.0596073
INTJ --> UH UH UH,1.39828e-09,1.40154e-09
INTJ --> UH UH UH UH,0.000938344,0.000941307
INTJ --> UH UH UH UH UH,0.000346847,0.000347443
INTJ --> UH UH UH UH UH UH,0.000211247,0.000211938
INTJ --> UH VP,0.104318,0.104592
INTJ --> VB VB,0.0333991,0.0335871
INTJ --> VP NP,1.39827e-09,1.40151e-09
JJ --> VB ASP,0.181255,0.181427
JJ --> VB T,0.0288131,0.028909
NN --> VB ASP,0.0220488,0.0220374
NN --> VB T,0.00761491,0.00756487
NNP --> VB ASP,0.0137153,0.0130591
NNPS --> NNP DIV,1.0,1.0
NNS --> NN DIV,0.851982,0.852875
NP --> ADJP NN,0.00810857,0.0080969
NP --> ADJP NNS,0.00121679,0.00120694
NP --> ADVP DT JJ NN,1.83585e-10,1.83097e-10
NP --> ADVP DT NN,1.83551e-10,1.83059e-10
NP --> CD CC CD,0.000167547,0.000167075
NP --> CD CD,0.000801903,0.000800359
NP --> CD CD CD,0.000488286,0.00048666
NP --> CD CD NN,1.83775e-10,1.83281e-10
NP --> CD CD NNS,0.000132681,0.000132291
NP --> CD JJ NN,1.83649e-10,1.83155e-10
NP --> CD JJ NNS,0.000194143,0.000193042
NP --> CD JJR,0.000125663,0.000125302
NP --> CD JJR NN,1.83617e-10,1.83123e-10
NP --> CD JJR NNS,6.25586e-05,6.24368e-05
NP --> CD NN,0.000287641,0.000290704
NP --> CD NN NN,1.83398e-10,1.82904e-10
NP --> CD NN NNS,3.25652e-05,3.24305e-05
NP --> CD NN PP,1.83249e-10,1.8276e-10
NP --> CD NNS,0.00232633,0.00231537
NP --> CD NNS PP,0.000328086,0.000327107
NP --> CD PP,0.000205389,0.000203434
NP --> DT ADJP,0.00188036,0.00187102
NP --> DT ADJP JJ NN,1.83438e-10,1.82947e-10
NP --> DT ADJP NN,1.8338e-10,1.82884e-10
NP --> DT ADJP NN NN,1.83316e-10,1.82819e-10
NP --> DT CD,0.00022022,0.000220865
NP --> DT CD JJ NNS,1.06242e-05,1.06731e-05
NP --> DT CD NN,3.79974e-05,3.68903e-05
NP --> DT CD NNS,0.000140339,0.00013959
NP --> DT DT JJ NN,1.83322e-10,1.82828e-10
NP --> DT DT JJ NNS,1.83197e-10,1.82738e-10
NP --> DT DT NN,1.83225e-10,1.82733e-10
NP --> DT DT NN NN,1.83593e-10,1.83097e-10
NP --> DT DT NNS,1.83169e-10,1.82677e-10
NP --> DT JJ,0.002443,0.00245138
NP --> DT JJ CD,1.83382e-10,1.8289e-10
NP --> DT JJ CD NNS,1.83889e-10,1.83406e-10
NP --> DT JJ JJ,1.8366e-10,1.83164e-10
NP --> DT JJ JJ JJ NN,9.45367e-05,9.4087e-05
NP --> DT JJ JJ NN,0.00169472,0.00168756
